GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-giret-document,com.giret.document.service,DocumentServiceImpl,23,115,0,2,9,32,1,10,1,9
api-giret-document,com.giret.document.config,AwsS3Config,0,32,0,0,0,11,0,3,0,3
api-giret-document,com.giret.document,ApiGiretDocument,5,3,0,0,2,1,1,1,1,1
api-giret-document,com.giret.document.controller,DocumentController,0,59,0,0,0,17,0,5,0,5
